,BN_cooler [MHz],PhotoEm [V]
0,1030,0.5642590743317013
1,1033,0.480596437246022
2,1036,0.3955215290336597
3,1039,0.3136190792705018
4,1045,0.20374818193206853
5,1048,0.16641232044920437
6,1051,0.13634663120685434
7,1054,0.11828370159302323
8,1057,0.09935035065973072
